unique_id,age,workclass,education,marital-status,occupation,sex,hours-per-week,native-country
10056,2,Private,Some-college,Married-civ-spouse,Tech-support,M,40,United-States
10057,46,Private,5th-6th,Married-civ-spouse,Machine-op-inspct,0,40,Mexico
10058,35,Private,Assoc-voc,Married-civ-spouse,Other-service,M,40,Puerto-Rico
10059,DK,Private,HS-grad,Married-civ-spouse,Adm-clerical,M,48,United-States
10060,30,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,P,40,United-States
10061,30,Private,Bachelors,Married-civ-spouse,Sales,M,40,United-States
10062,32,?,7th-8th,Married-spouse-absent,?,O,0,
10063,48,Private,HS-grad,Married-civ-spouse,Transport-moving,M,40,United-States
10064,42,Private,Doctorate,Married-civ-spouse,Prof-specialty,M,45,United-States
10065,306,Private,Some-college,Divorced,Tech-support,M,58,United-States
10066,36,Private,HS-grad,Married-civ-spouse,Craft-repair,M,40,
10067,28,Private,Some-college,Divorced,Adm-clerical,F,40,United-States
10068,53,,HS-grad,Married-civ-spouse,Adm-clerical,F,40,United-States
10069,49,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,M,50,United-States
10070,25,?,Some-college,Never-married,?,M,40,?
10071,NO,Private,Some-college,Never-married,Prof-specialty,M,32,United-States
10072,31,Private,Bachelors,Separated,Sales,F,40,United-States
10073,29,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,M,70,Africa
10074,23,Private,?,Never-married,Machine-op-inspct,8,40,United-States
10075,79,Private,Some-college,,Prof-specialty,O,20,United-States
10076,27,Private,HS-grad,Never-married,Other-service,M,40,Mexico
10077,40,Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,O,40,United-States
10078,67,?,10th,Married-civ-spouse,?,M,0,United-States
10078,67,?,10th,Married-civ-spouse,?,M,40,United-States
10079,18,Private,11th,Never-married,Other-service,F,22,United-States
10080,31,Local-gov,7th-8th,Married-civ-spouse,Farming-fishing,M,40,United-States
10081,18,Private,HS-grad,Never-married,Sales,M,30,United-States
